Sentence,Protein,UniProtId,Phenotype,HPOId,type,Label
Virus biodistribution and antitumor effects were monitored in PHENO-bearing mice given antihuman vascular endothelial growth factor (VEGF) or antimouse PROT before or after an intravenous (i.v.),VEGFR2,P35968,tumor,HP:0002664,abs,Bad-CoM
"Although PROT-deficient (Cd40l(-/-)) platelets exhibited impaired platelet aggregation and thrombus stability, the effects of platelet CD40L on inflammatory processes in PHENO were more remarkable.",CD40L,P29965,atherosclerosis,HP:0002621,abs,Good-CoM
Our preclinical study supports a role for therapies that target PROT and HDM2 in the treatment of PHENO.,WIP1,O15297,medulloblastoma,HP:0002885,abs,Bad-CoM
"Altogether, our findings link together two PHENO properties of p57(PROT), by showing that the promotion of cell death by p57(KIP2) requires its actin cytoskeleton stabilization function.",KIP2,P49918,tumor suppressor,HP:0002664,abs,Good-CoM
"Therefore, we examined whether treatment with a PROT ligand during pregnancy could prevent hypertension, insulin resistance, and PHENO in the offspring from HFD-induced obese pregnant mice (OH mice).",CAR,Q9UQ90,hyperlipidemia,HP:0003077,abs,Bad-CoM
"Since the role of inflammation in the progression of chronic PHENO (HF) is debated, we investigated the prognostic value of PROT and the effect of a statin in two large populations of patients with HF.",PTX3,O75364,heart failure,HP:0001635,abs,Bad-CoM
"KX-01 was evaluated as a single-agent and in combination with paclitaxel in MDA-MB-231, MDA-MB-157, and MDA-MB-468 human ER/PR/PROT-negative breast PHENO cells.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"In clinical specimens of lymphoma and PHENO, we documented frequent downregulation of PROT expression, consistent with our findings.",MST1,Q13043,leukemia,HP:0001909,abs,Good-CoM
Targeted disruption of PROT using a conditional knockout mouse model abolished in vitro transformation of murine bone marrow cells and in vivo initiation and maintenance of MLL-AF10 or CALM-AF10 PHENO.,Dot1l,Q03164,leukemia,HP:0001909,abs,Good-CoM
"PHENO, especially ER positive/PROT/neu negative IDC, is the predominant subtype of invasive ductal carcinoma.",HER2,P04626,Breast cancer,HP:0003002,abs,Bad-CoM
An open-label safety study of lapatinib plus trastuzumab plus paclitaxel in first-line PROT-positive metastatic breast PHENO.,HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
PROT Activity Mediates Effects of the Histone Deacetylase Inhibitor Butyrate on WNT Activity and Apoptosis in PHENO Cells.,CBP,Q92793,Colon Cancer,HP:0003003,abs,Good-CoM
PROT might become a novel target for the treatment of pain in patients with bone PHENO.,PAR2,Q9NWF4,cancer,HP:0002664,abs,Bad-CoM
"PROT, left ventricular mass, and PHENO in community-dwelling older adults.",Fibroblast growth factor 23,Q9GZV9,left ventricular hypertrophy,HP:0001712,abs,Bad-CoM
PHENO is associated with PROT in stage 3-5 chronic kidney disease patients.,Fibroblast Growth Factor-23,P01308,Insulin resistance,HP:0000855,abs,Bad-CoM
PROT expression on breast cancer cells promotes PHENO.,RANK,Q9Y6Q6,skeletal metastasis,HP:0002664,abs,Good-CoM
"We investigate here the role of colorectal PHENO (CRC) produced PROT in endothelial cell growth, motility, and blood vessel formation, as well as the expression of the Norrin signaling pathway components in the CRC tumor microenvironment.",Norrin,Q00604,cancer,HP:0002664,abs,Bad-CoM
Resistance to the human epidermal growth factor receptor (PROT)-targeted antibody trastuzumab is a major clinical concern in the treatment of HER2-positive metastatic PHENO.,HER2,P04626,breast cancer,HP:0003002,abs,Bad-CoM
"In conclusion, HO-1 and HO-2 and PROT were expressed in the cytosols of skin PHENO cells, whereas perilesional normal epidermis showed only faint staining, thus leading to the hypothesis that the HO/BVR system is activated in skin cancers.",BVR,P53004,cancer,HP:0002664,abs,Good-CoM
A New Double Stranded RNA Suppresses Bladder PHENO Development by Upregulating p21 (Waf1/PROT) Expression.,CIP1,P38936,Cancer,HP:0002664,abs,Good-CoM
PROT/interleukin-21 signaling axis is critical in the pathogenesis of PHENO.,Interleukin-6,P05231,pulmonary arterial hypertension,HP:0002092,abs,Bad-CoM
PROT in health and PHENO.,P63,Q9H3D4,cancer,HP:0002664,abs,Bad-CoM
Denosumab Inhibition of PROT and Insulin Resistance in Postmenopausal Women with PHENO.,RANKL,O14788,Osteoporosis,HP:0000939,abs,Bad-CoM
PROT sensitivity affects corticolimbic brain responses to visual food cues in PHENO syndrome patients.,Insulin,P01308,polycystic ovary,HP:0000147,abs,Bad-CoM
"Based on KRAS activates several down-stream effectors leading to the stimulation of the RAF/mitogen-activated protein kinase/extracellular signal-regulated kinase (PROT/MEK/ERK) and phosphatidylinositol-3-kinase (PI3K) pathways, we investigated the anti-tumor effects of biguanides on the proliferation of KRAS-mutated tumor cells in vitro and on KRAS-driven PHENO growth in vivo.",RAF,P04049,tumor,HP:0002664,abs,Bad-CoM
"The study of the RANKL/PROT/OPG system has increased the understanding of the mechanisms involved in the bone remodeling process, especially in postmenopausal PHENO and periodontal disease.",RANK,Q9Y6Q6,osteoporosis,HP:0000939,abs,Bad-CoM
PROT Drives PHENO Progression through YAP/TAZ-Dependent Autonomous Cell Growth.,WIP,O43516,Tumor,HP:0002664,abs,Good-CoM
Pan-HER inhibitor shows significant antitumor effects in in vitro and xenograft model of PROT (+) PHENO.,HER2,P04626,gastric cancer,HP:0012126,abs,Bad-CoM
The role of PROT in metastasis involved a COX-2-independent enhancement of cell disengagement from the primary PHENO and adherence to the lungs that fostered metastasis implantation.,SPARC,P09486,tumor,HP:0002664,abs,Bad-CoM
"Recent early-phase clinical trials of CAR-modified T (PROT-T) cells for relapsed or refractory B cell malignancies have demonstrated promising results (that is, anti-CD19 CAR-T in B cell acute lymphoblastic PHENO (B-ALL)).",CAR,Q9UQ90,leukemia,HP:0001909,abs,Bad-CoM
"However, the clinical implication of TNFR2 in PHENO (BC) tissue (i.e., not soluble PROT in blood or genetic variation of TNFR2) has not been reported.",TNFR2,P20333,breast cancer,HP:0003002,abs,Bad-CoM
The appearance of the prostatic fossa on transrectal ultrasound (TRUS) scans obtained after radical retropubic prostatectomy (RRP) was studied in 25 patients believed to have no PHENO on the basis of their level of serum prostate-specific antigen (PROT) (< or = 0.4 ng/mL).,PSA,Q9Y617,tumor,HP:0002664,abs,Bad-CoM
"A possible involvement of the PROT and PSF2 genes in susceptibility to MHC-associated diseases was examined in a preliminary assessment in patients with ankylosing spondylitis, insulin-dependent diabetes mellitus, or PHENO.",PSF1,Q03518,celiac disease,HP:0002608,abs,Bad-CoM
PROT (PTHrP) has been shown to be the principal cause of humoral PHENO associated with renal cell carcinoma (RCC).,Parathyroid hormone-related protein,P12272,hypercalcemia,HP:0003072,abs,Good-CoM
p21WAF1/PROT protein expression in primary ovarian PHENO.,CIP1,P38936,cancer,HP:0002664,abs,Bad-CoM
"In tissue culture studies, combined treatment of HER2/ neu overexpressing breast cancer cells with PROT/neu antisense ODNs and conventional chemotherapeutic agents results in synergistic inhibition of PHENO cell growth and activation of apoptotic cell death mechanisms.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
The ability of the sulfonylurea receptor (PROT) 1 to suppress PHENO and excitotoxic neuron damage was assessed in mice transgenically overexpressing this receptor.,SUR,Q09428,seizures,HP:0001250,abs,Bad-CoM
"Prostate-specific antigen (PROT) testing could be used to identify men who are at higher future risk of developing clinical prostate PHENO or to diagnose prostate cancer earlier in high-risk groups, such as black men or those with a family history of the disease.",PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
"In patients with breast PHENO, both humoral and cell-mediated PROT immune responses have been found as well as in some patients with gp185HER2 nonoverexpressing tumors.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"We provide evidence for a direct interaction between PROT and MAGUK proteins, and we propose that various LAP-MAGUK networks targeted to the basolateral side of epithelial cells participate to homeostasis of epithelial tissues and PHENO growth.",LAP,Q9HC77,tumor,HP:0002664,abs,Bad-CoM
"Abnormalities of the RANKL/PROT system have been implicated in the pathogenesis of postmenopausal PHENO, rheumatoid arthritis, Paget's disease, periodontal disease, benign and malignant bone tumors, bone metastases, and hypercalcemia of malignancy, while administration of OPG has been demonstrated to prevent or mitigate these disorders in animal models.",OPG,O00300,osteoporosis,HP:0000939,abs,Good-CoM
"Large pivotal phase II and III clinical trials investigated the therapeutic efficacy and safety of the humanized anti-HER2 monoclonal antibody, Herceptin, alone and in combination with standard chemotherapy, respectively, in PROT-positive metastatic PHENO.",HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
"The cytokine macrophage migration inhibitory factor (PROT) has emerged to be an important regulator of the inflammatory response and is critically involved in the development of septic shock, arthritis, and PHENO.",MIF,P03971,glomerulonephritis,HP:0000099,abs,Good-CoM
"Therefore, the role of the adhesion molecules intercellular adhesion molecule-1 (ICAM-1), LECAM-1, PROT, leukocyte function-associated antigen-1 (LFA-1) and platelet endothelial cell adhesion molecule-1 (PECAM-1) on the BjV-induced neutrophil accumulation and the correlation with release of LTB4, TXA2, PHENO necrosis factor-alpha, interleukin (IL)-1 and IL-6 have been investigated.",CD18,P05107,tumor,HP:0002664,abs,Bad-CoM
"Fusion of PROT/Runx1 to copine VIII, a novel member of the copine family, in an aggressive PHENO with t(12;21) translocation.",AML1,Q01196,acute myelogenous leukemia,HP:0004808,abs,Bad-CoM
"The possibility to correct the regulation of PROT/Akt activity by restoration of H-2K expression in B16BL6 melanoma cells may be considered as an attractive approach for PHENO therapy, since an aberrant activation of this enzyme is characteristic to resistant malignancies.",PKB,P31749,cancer,HP:0002664,abs,Bad-CoM
"By contrast, all freshly isolated B leukemia or lymphoma cases, including 5 chronic lymphocytic leukemia, 1 B-prolymphocytic PHENO, 1 mantle cell lymphoma, 2 marginal zone lymhomas and 2 follicular lymphomas were poorly lysed by ADCC in the same conditions and regardless of PROT expression levels, reaching a mean of 4% and 27% maximal lysis with PBMC or purified NK cells, respectively.",CD20,P11836,leukemia,HP:0001909,abs,Bad-CoM
"This study was designed to use a prospectively analyzed, population-based, multiethnic cohort of men to determine if there is a relationship between one measure of PHENO/overweight (Body Mass Index) and Prostate Specific Antigen (PROT).",PSA,Q9Y617,obesity,HP:0001513,abs,Bad-CoM
"Ataxia-oculomotor apraxia syndrome 1 is an early onset PHENO that results from loss of function mutations in the APTX gene, encoding PROT, which contains three conserved domains.",Aprataxin,Q7Z2E3,cerebellar ataxia,HP:0001251,abs,Good-CoM
A novel role for placental leucine aminopeptidase (P-PROT) as a determinant of chemoresistance in PHENO cells.,LAP,Q9HC77,endometrial carcinoma,HP:0012114,abs,Bad-CoM
"Designing novel drugs that target RANKL-PROT and their signaling pathways in osteoclasts could potentially revolutionize the treatment of many diseases associated with bone loss such as arthritis, tooth loss, cancer metastases or PHENO.",RANK,Q9Y6Q6,osteoporosis,HP:0000939,abs,Bad-CoM
The differential expression of PROT in esophageal PHENO.,SPARC,P09486,squamous cell carcinoma,HP:0002860,abs,Bad-CoM
"The panel consisted of the leukemias HL-60, BV-173, SKW-3, K-562, PROT-84 and the urinary PHENO 5637.",LAMA,P25391,bladder carcinoma,HP:0002862,abs,Bad-CoM
"Immunohistochemical analysis revealed that in biopsy specimens from RCC patients (n = 98), the expression of PROT is highly demonstrated in the epithelium of normal proximal tubule but not seen in PHENO cells.",ASS,P00966,tumor,HP:0002664,abs,Good-CoM
"We hypothesized that altered expression of DISC1 and/or its molecular partners (nuclear distribution element-like [NUDEL], PHENO and elongation protein zeta-i [PROT], and lissencephaly 1 [LIS1]) may underlie its pathogenic role in schizophrenia and explain its genetic association.",FEZ1,Q9Y250,fasciculation,HP:0002380,abs,Bad-CoM
"Overexpression and aberrant activation of ErbB2/PROT confer aggressive and malignant characteristics to breast cancer cells, and patients displaying ErbB2-amplified PHENO face a worsened prognosis.",HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
"On immunohistochemistry the PHENO cells were positive for pan-cytokeratin, epithelial membrane antigen (EMA), S100 protein and E-cadherin while estrogen and progesterone receptors, PROT-neu and Bcl2 were negative.",HER2,P04626,tumor,HP:0002664,abs,Bad-CoM
"To further investigate a possible role of SDF-1alpha in the recruitment of CXCR4(+) cells in human renal disease of varying etiologies, we immunostained human biopsies of immunoglobulin (Ig)A nephropathy, minimal-change nephrotic syndrome, focal segmental PHENO, membranoproliferative glomerulonephritis, chronic pyelonephritis, and acute tubular necrosis (ATN) for SDF-1alpha, CXCR4, and PROT, a pan-hematopoietic marker.",CD45,P08575,glomerulosclerosis,HP:0000096,abs,Bad-CoM
"In conclusion, the long-term treatment with BaP and PROT can aggravate allergic PHENO.",1-NP,P00491,rhinitis,HP:0012384,abs,Good-CoM
"The present study was designed to evaluate the effects of PROT, DFX or their combination on AMPH-induced PHENO.",NAC,Q9C000,hyperactivity,HP:0000752,abs,Bad-CoM
The biological consequence of the siRNA-induced increase in PROT production from MCF-7 cells was a PKR-dependent increase in proliferation of breast PHENO cells.,MIF,P03971,cancer,HP:0002664,abs,Good-CoM
"PROT resistance may present without any clinical manifestation, often, many years before the appearance of frank PHENO, which would occur when the pancreas failed to secrete enough insulin to compensate such resistance and keep the person euglycemic [6].",Insulin,P01308,diabetes mellitus,HP:0000819,ft,Good-CoM
Our results indicate that the human PROT expressed by C4-2 cells exerted little or no effect in this system and that RANKL expressed by the host cells within the bone environment is responsible for the stimulation of PHENO.,RANKL,O14788,osteolysis,HP:0002797,ft,Good-CoM
Key amongst the frequent translocations altering the activity of an epigenetic modifiers in AML includes translocations involving mixed lineage leukemia 1 (PROT) which occur in at least 10% of adult AML patients and >70% of infant PHENO.,MLL1,Q03164,acute leukemias,HP:0002488,ft,Bad-CoM
"For instance, repression of human telomerase reverse transcriptase (hTERT) expression in breast and PHENO cells was shown to be partly mediated by PROT [17,18].",SIP1,O60315,liver cancer,HP:0002896,ft,Good-CoM
PROT concentrations in synovial fluid were also significantly correlated with BMI in people with severe PHENO [13].,Leptin,P41159,osteoarthritis,HP:0002758,ft,Good-CoM
"Interestingly, distinct MLL fusion partners suggest a possible role in the tropism of the PHENO because certain partner proteins not only convert MLL to an oncogenic fusion protein but also direct the lineage susceptibility for transformation; PROT-AF4 expressing leukemias are mainly diagnosed as pro-B ALL in both pediatric and adult patients, whereas fusion partners AF9, AF6, or AF10 are common in myelomonocytic or monoblastic acute myeloid leukemia subtypes [9].",MLL,Q03164,leukemia,HP:0001909,ft,Good-CoM
"As for MRD monitoring using specific probes for MLL-AF4, there are only limited published observations; in a prospective study of the GIMEMA group, MRD positivity after consolidation therapy in about 25 consecutive patients with t(4;11)/PROT-AF4 positive ALL, significantly correlates with a higher cumulative incidence of PHENO relapse and an inferior OS.",MLL,Q03164,leukemia,HP:0001909,ft,Good-CoM
"However, scarce attention has been given to the potential role of the PROT expressed by chondrocytes in the pathogenesis of RA-related juxta-articular bone loss, although it has been reported to diffuse from the cartilage to subchondral bone in human PHENO (OA) [28].",RANKL,O14788,osteoarthritis,HP:0002758,ft,Good-CoM
Similar results were found in human PHENO; suppression of PROT in several human melanoma cells triggered apoptotic cell death dependent on p53 and induction of Bax [37].,SPARC,P09486,melanoma,HP:0002861,ft,Good-CoM
"Although soluble HSP60 and antibodies to PROT/65 have been shown to be elevated in human patients with PHENO, it is unclear whether this simply represents an association or whether a causal relationship exists.",HSP60,P10809,atherosclerosis,HP:0002621,ft,Bad-CoM
"In addition, mutations in PROT have been identified in a subset of patients with common variable PHENO, which is characterized by a defect in B-cell differentiation and hypogammaglobulinemia [193].",CD40L,P29965,immunodeficiency,HP:0002721,ft,Good-CoM
"In addition, an algorithm for the sub-grouping of PHENO patients into three sub-groups according to the expression patterns of NGF and PROT also predicted survival of BRCA patients.",HO1,P09601,breast carcinoma,HP:0003002,ft,Good-CoM
"Reduced expression of gap junction genes has been demonstrated in several human cancers, including PHENO (PROT) [14], prostatic adenocarcinoma (CX43) [15], brain glioma (CX43) [16], breast cancer (CX43) [17], and lung cancer (CX32 and CX43) [18].",CX32,P08034,gastric cancer,HP:0012126,ft,Good-CoM
"Previous studies have also reported the expression of ALDH1 and PROT on CTCs of early and metastatic PHENO patients [27, 43], though at a lower frequency.",TWIST,Q15672,breast cancer,HP:0003002,ft,Good-CoM
"In summary, our study demonstrates that combination therapy with PROT and RFA is an effective and safe treatment that may delay tumor progression and prolong overall survival in patients with BCLC B PHENO.",TACE,P78536,hepatocellular carcinoma,HP:0001402,ft,Good-CoM
PROT is expressed in the MAN and may be responsible for the detection of PHENO and the initiation of the CRR (175).,Glucokinase,P35557,hypoglycemia,HP:0001943,ft,Bad-CoM
"Compatible with this hypothesis, skin fibroblasts derived from patients with MERFF (myoclonic PHENO with ragged red fibers) displayed PROT up-regulation and increased NADPH and GSH levels (Wu and Wei 2012).",GLUT1,P11166,epilepsy,HP:0001250,ft,Good-CoM
"NF1 gene expression, but not MEK1 or PROT gene expression, was strongly associated with patient outcomes in PHENO and appeared to have prognostic effects independent of tumor stage (Fig.",MEK2,P36507,neuroblastoma,HP:0003006,ft,Bad-CoM
"In addition, in human studies, signs of PHENO were observed in only a few cases of X linked syndrome of immune dysregulation, polyendocrinopathy, and enteropathy (IPEX), a disease that develops in individuals with a FOXP3 gene mutation 21, 22; instead, patients with PROT present with thrombocytopenia, insulin dependent diabetes mellitus, diarrhea, or thyroiditis 22.",IPEX,Q9BZS1,arthritis,HP:0001369,ft,Bad-CoM
"Interestingly, it was recently shown that PHENO and Parkinson s disease patients without BP may also develop cerebrospinal fluid (CSF) anti-BP180 antibodies to non-pathogenic intracellular and extracellular domains and, rarely, to pathogenic NC16A domain of PROT [13].",BP180,Q9UMD9,dementia,HP:0000726,ft,Good-CoM
"Nevertheless, the phenotype similarities between our model and that using a PROT monoclonal antibody derived from the mother of one child with PHENO [4] support our conclusion that the effects of the IgG preparations were due to the presence of the CASPR2-antibodies rather than other brain-reactive IgGs.",CASPR2,Q9UHC6,autism,HP:0000717,ft,Good-CoM
"Systemic manifestations, comprising PHENO, exanthema, hepatomegaly, splenomegaly or serositis, were present at baseline in 1.4% of patients treated with PROT, in 42.3% of patients treated with TOC and in 63% of patients treated with IL-1i.",ETA,P25101,fever,HP:0001945,ft,Good-CoM
"Genetic factors likely play a major role in late-onset primary dystonia since 8 27% of patients with primary late-onset PHENO have one or more family members affected with dystonia [5-9] and several of the primary dystonias inherited in Mendelian fashion (PROT, DYT5, DYT6, DYT11, and DYT12) begin focally, show incomplete penetrance and exhibit variable anatomical expressivity [10-12].",DYT1,O14656,dystonia,HP:0001332,ft,Good-CoM
"While the prevalence of PROT in the general population is 20-40%, it reaches 90% among celiac patients, as confirmed in a study by Fern ndez-Ba ares et al., in which a series of patients with presumed PHENO bowel syndrome and predominant diarrhea were screened for possible CD [31].",DQ2,O14656,irritable,HP:0000737,ft,Bad-CoM
A recent phase IIA trial in patients with diabetic nephropathy using atrasentan in doses that caused only modest fluid retention showed significant reductions in albuminuria over an 8-week period [17]; further trials are planned to determine whether PROT blockade slows progression of diabetic PHENO.,ETA,P25101,kidney disease,HP:0000077,ft,Bad-CoM
"Mutations of PROT (SLC2A2) are the basic defect in FBS patients with characteristic clinical features and also in patients with atypical clinical signs such as intestinal malabsorption, failure to thrive, the absence of PHENO or renal hyperfiltration [5].",GLUT2,P11168,hepatomegaly,HP:0002240,ft,Bad-CoM
"The human homolog of Erv1, PROT, has been found to be mutated in a case of three siblings suffering from serious developmental delay, PHENO, progressive muscular hypotonia and congenital cataract [95].",ALR,P55789,hearing loss,HP:0000365,ft,Good-CoM
The results of the current study demonstrate that PROT was expressed in CTCs of 47% of PHENO patients.,VEGFR2,P35968,breast cancer,HP:0003002,ft,Good-CoM
"Interestingly, PNPLA1, a protein that shares substantial homology with PROT/PNPLA2, was recently discovered to be mutated in autosomal recessive congenital lamellar PHENO in humans and dogs.",ATGL,Q96AD5,ichthyosis,HP:0008064,ft,Good-CoM
"Among them, the fusion MLL-AF9 is associated more commonly with acute myeloid PHENO, whereas the translocation t(4;11)(q21;q23), which produces the fusion of the PROT and AF4 genes, has been documented in up to 80% of infant ALL cases and in near to 2% of children older than 1 year of age [62].",MLL,Q03164,leukemia,HP:0001909,ft,Good-CoM
"Targeting PROT in conjunction with hormonal therapy as an initial treatment option would be a new approach and should be considered, because the recurrence of PHENO in women receiving SERMs is still a major clinical challenge, and a large number of ER+ breast cancers are initially resistant to antiestrogen therapy, possibly due to IGF-1-mediated survival effects [56].",MEK1,Q02750,breast cancer,HP:0003002,ft,Good-CoM
"Although PROT expression is exclusively cytoplasmic in lung and pancreatic cancer [57,58], gastrointestinal hamartomatous polyps from Peutz-Jeghers syndrome patients, head and neck squamous cell carcinoma, invasive lobular PHENO, and solid papillary ductal carcinoma in situ breast cancer show both cytoplasmic and nuclear LKB1 expression [59-61].",LKB1,Q15831,breast carcinoma,HP:0003002,ft,Good-CoM
This pathway could explain the decrease in PROT expression found in liver biopsies of patients with cholestatic PHENO (Zollner et al.,OATP1B1,Q9Y6L6,liver disease,HP:0001392,ft,Good-CoM
"It has been demonstrated that patients whose tumors exhibited positive levels of MRP2 expression showed worse prognosis than patients with PROT-negative tumors in many different types of malignancy, including PHENO, ovarian carcinoma, esophageal squamous cell carcinoma, renal cell carcinoma, nonsmall cell lung carcinoma and pancreatic ductal carcinoma [19 25].",MRP2,Q92887,hepatocellular carcinoma,HP:0001402,ft,Good-CoM
"To confirm the significance of TAK1-mediated MYD88L265P signaling on PHENO cell growth, the effect of the selective PROT inhibitor, (5Z)-7-Oxozeaenol, on cell proliferation was tested; an NF- B inhibitor was included as a control (Figure 4a).",TAK1,O43318,lymphoma,HP:0002665,ft,Bad-CoM
"Although the relative contribution of PROT mRNA from normal breast versus tumor tissue was not specified in this analysis of patients with breast cancer, the authors concluded that the strong correlation of these gene sets (including RANKL expression) was independent of breast cancer subtype and instead represented unique biological pathways common to PHENO in young women and perhaps related to the poor prognosis in these patients.",RANKL,O14788,breast cancer,HP:0003002,ft,Good-CoM
"An additional 21 patients (13 male and 8 female) aged between 46 and 68 years, who had ventral PHENO caused by pathology posterior to the vertebral body received PROT (Group B).",SCF,P21583,spinal cord compression,HP:0002176,ft,Bad-CoM
"The pivotal finding of this study is that the elevated expression of PROT correlated with a poor prognosis and reduced survival of breast cancer patients, suggesting that TBLR1 is a potential independent prognostic factor for PHENO.",TBLR1,Q9BZK7,breast cancer,HP:0003002,ft,Good-CoM
"Furthermore, expression of PROT was significantly correlated with clinicopathological characteristics and patient survival in PHENO.",TBLR1,Q9BZK7,breast cancer,HP:0003002,ft,Good-CoM
Mutations in INSL3 and PROT (RXFP2) have been reported in populations of patients with PHENO [512].,LGR8,Q8WXD0,cryptorchidism,HP:0000028,ft,Good-CoM
"Thus, the aims of the present study were 3-fold: (i) to compare circulating levels of VEGF using platelet poor plasma (PPP) of patients with different forms of chronic PHENO: (I) CSU with negative response to autologous serum skin test (ASST), (II) chronic autoreactive urticaria (with positive response to ASST) with or without coexistent untreated euthyroid Hashimoto's thyroiditis, and (III) delayed pressure urticaria (DPU) and appropriate controls, (ii) to compare circulating levels of VEGF between active period of the disease and the clinical remission phase, and (iii) to assess circulating levels of soluble receptors of VEGF (sVEGFR1 and PROT) in plasma of the patients with chronic urticaria.",VEGFR2,P35968,urticaria,HP:0001025,ft,Bad-CoM
"We have previously shown that a deficiency in acid sphingomyelinase (human protein, PROT; EC 3.1.4.12, sphingomyelin phosphodiesterase; optimal pH 5.0; murine protein, Asm; gene symbol, Smpd1) overshoots the activation of the immune system after PHENO with P. aeruginosa (9).",ASM,P17405,pulmonary infection,HP:0006532,ft,Good-CoM
"In this study, we aimed to determine the correlation between PSF and PPAR  protein levels in pancreatic cancer cells and to examine the effects of different PROT/PPAR  expression levels on cell proliferation using human PHENO cell lines expressing varying levels of PSF.",PSF,Q16270,pancreatic cancer,HP:0002894,ft,Bad-CoM
"For instance, the compound UA62784 was initially described to be a specific inhibitor of the ATPase activity of CENP-E and highly cytotoxic against human PHENO cell lines with a deletion of the PROT gene [460].",DPC4,Q13485,pancreatic cancer,HP:0002894,ft,Good-CoM
"Patients with PROT-DS display motor and developmental delays, infantile onset of drug-resistant seizures, and deceleration of head growth resulting in acquired PHENO, ataxia, and dystonia, [50].",GLUT1,P11166,microcephaly,HP:0000252,ft,Good-CoM
"Recently, a modified-release oral formulation of calcifediol was designed to gradually raise serum 25-hydroxyvitamin D to minimize the induction of PROT (the cytochrome P-450 enzyme that specifically catabolizes vitamin D and its metabolites) and was found to reduce iPTH more effectively in patients with secondary PHENO [115].",CYP24,Q07973,hyperparathyroidism,HP:0000843,ft,Bad-CoM
"Thus, in order to increase the statistical efficiency, in the present study, we retrospectively analyzed data from 177 IMN patients with massive PHENO treated with TAC or with PROT.",CYC,P99999,proteinuria,HP:0000093,ft,Bad-CoM
It has been observed that patients with PROT deficiency (SLC2A1 mutations) show a remarkable reduction in PHENO frequency following ketogenic diet therapy.,GLUT1,P11166,seizure,HP:0001250,ft,Good-CoM
"Seven had no epilepsy, but another brain disorder (category 1b): there were two children with migraine, two children with PHENO spectrum disorder, one child with a chromosomal microduplication and autism, one child with PROT (Glucose Transport type 1) deficiency syndrome, and one child with a history of acute symptomatic seizures during bacterial meningitis.",GLUT1,P11166,autism,HP:0000717,ft,Bad-CoM
"A similar tendency was observed in our previous studies concerning the serum PROT levels in patients with colorectal [14, 15] and PHENO [12], although the differences between serum SCF concentrations and tumor stages were statistically significant only in colorectal cancer patients [15].",SCF,P21583,gastric cancer,HP:0012126,ft,Bad-CoM
"Furthermore, increased plasma ceramide content and serum acid sphingomyelinase (PROT) activity have been observed in patients with type-2 PHENO [19,20].",ASM,P17405,diabetes mellitus,HP:0000819,ft,Good-CoM
"Mutations in BRCA1 and BRCA2 account for approximately 50% of breast/ovarian cancer pedigrees with more than four affected cases [1], whereas mutations in PTEN [2], PROT [3] and ATM [4] have been reported in a small number of PHENO families or women with early onset breast cancer.",CHK2,O96017,breast cancer,HP:0003002,ft,Good-CoM
"The soluble form of PROT and serum OPG detected in human blood stream (mainly released from endothelial cells) are both under investigation as possible clinical biomarkers of several bPHENOeases, including atherosclerosis [97, 98].",RANKL,O14788,one-related dis,HP:0002621,ft,Bad-CoM
"For example, a recent longitudinal study has shown that 35% of men who received PROT therapy for prostate cancer will experience at least one skeletal fracture in the first 7 years and 19% will be diagnosed with PHENO/osteopaenia (Krupski ).",LHRH,P01148,osteoporosis,HP:0000939,ft,Good-CoM
The protein was originally cloned as a fusion transcript with PROT/BCL6 in a PHENO cell line [13] and has since been found to be mutated or translocated in a number of human cancers (see Figure 3).,LAZ3,P41182,non-Hodgkin lymphoma,HP:0012539,ft,Good-CoM
There is increasing evidence to support IV PROT therapy is equally as effective as oral therapy and is associated with less toxicity in patients with systemic PHENO.,CYC,P99999,vasculitis,HP:0002633,ft,Good-CoM
"Interestingly, studies have shown that higher serum levels of OPG and RANKL are present in patients with PHENO than in healthy people, but the ratio of OPG/PROT is similar [40, 41, 42].",RANKL,O14788,rheumatoid arthritis,HP:0001370,ft,Good-CoM
"To experiment with a genetic approach to induce SPARC expression and observe its effects on PHENO tumour growth in vitro and in vivo, we cloned a human PROT cDNA in a pcDNA3.1 mammalian expression vector and transfected it into Daoy parental (Daoy-P) cells.",SPARC,P09486,medulloblastoma,HP:0002885,ft,Bad-CoM
"To examine the role of these pathways in the regulation of DR4 or PROT function, genes induced or repressed by recombinant human TRAIL (rhTRAIL) and DR5-selective rhTRAIL variants were determined in a PHENO cell model using cDNA microarray technology.",DR5,O14763,colon cancer,HP:0003003,ft,Bad-CoM
"To examine the role of these pathways in the regulation of DR4 or DR5 function, genes induced or repressed by recombinant human TRAIL (rhTRAIL) and PROT-selective rhTRAIL variants were determined in a PHENO cell model using cDNA microarray technology.",DR5,O14763,colon cancer,HP:0003003,ft,Bad-CoM
Most patients with PROT have symptoms and signs of clinical PHENO.,SCF,P21583,coronary artery disease,HP:0001677,ft,Good-CoM
